year,CO2,CH4,N2O
1950,0.00,0.00,0.00
1951,0.00,0.00,0.00
1952,0.00,0.00,0.00
1953,0.00,0.00,0.00
1954,0.00,0.00,0.00
1955,0.00,0.00,0.00
1956,0.00,0.00,0.00
1957,0.00,0.00,0.00
1958,0.00,0.00,0.00
1959,0.00,0.00,0.00
1960,0.00,0.00,0.00
1961,0.00,0.00,0.00
1962,0.00,0.00,0.00
1963,0.00,0.00,0.00
1964,0.00,0.00,0.00
1965,0.00,0.00,0.00
1966,0.00,0.00,0.00
1967,0.00,0.00,0.00
1968,0.00,0.00,0.00
1969,0.00,0.00,0.00
1970,0.00,0.00,0.00
1971,0.00,0.00,0.00
1972,0.00,0.00,0.00
1973,0.00,0.00,0.00
1974,0.00,0.00,0.00
1975,0.00,0.00,0.00
1976,0.00,0.00,0.00
1977,0.00,0.00,0.00
1978,0.00,0.00,0.00
1979,0.00,0.00,0.00
1980,0.00,0.00,0.00
1981,0.00,0.00,0.00
1982,0.00,0.00,0.00
1983,0.00,0.00,0.00
1984,0.00,0.00,0.00
1985,0.00,0.00,0.00
1986,0.00,0.00,0.00
1987,0.00,0.00,0.00
1988,0.00,0.00,0.00
1989,0.00,0.00,0.00
1990,0.00,0.00,0.00
1991,0.00,0.00,0.00
1992,0.00,0.00,0.00
1993,0.00,0.00,0.00
1994,0.00,0.00,0.00
1995,0.00,0.00,0.00
1996,0.00,0.00,0.00
1997,0.00,0.00,0.00
1998,0.00,0.00,0.00
1999,0.00,0.00,0.00
2000,0.00,0.00,0.00
2001,0.00,0.00,0.00
2002,0.00,0.00,0.00
2003,0.00,0.00,0.00
2004,0.00,0.00,0.00
2005,0.00,0.00,0.00
2006,0.00,0.00,0.00
2007,0.00,0.00,0.00
2008,0.00,0.00,0.00
2009,0.00,0.00,0.00
2010,0.00,0.00,0.00
2011,0.00,0.00,0.00
2012,0.00,0.00,0.00
2013,0.00,0.00,0.00
2014,0.00,0.00,0.00
2015,0.00,0.00,0.00
2016,0.00,0.00,0.00
2017,0.00,0.00,0.00
2018,0.00,0.00,0.00
2019,0.00,0.00,0.00
2020,0.00,0.00,0.00
2021,0.00,0.00,0.00
2022,0.00,0.00,0.00
2023,0.00,0.00,0.00
2024,0.00,0.00,0.00
2025,0.00,0.00,0.00
2026,0.00,0.00,0.00
2027,0.08,0.90,0.03
2028,0.15,1.81,0.06
2029,0.23,2.74,0.10
2030,0.31,3.68,0.13
2031,0.40,4.63,0.17
2032,0.48,5.60,0.20
2033,0.56,6.58,0.23
2034,0.65,7.58,0.27
2035,0.73,8.58,0.31
2036,0.82,9.60,0.34
2037,0.91,10.63,0.38
2038,1.00,11.67,0.42
2039,1.09,12.73,0.45
2040,1.18,13.79,0.49
2041,1.27,14.87,0.53
2042,1.36,15.95,0.57
2043,1.45,17.04,0.61
2044,1.55,18.14,0.65
2045,1.64,19.25,0.69
2046,1.74,20.37,0.73
2047,1.83,21.49,0.77
2048,1.93,22.62,0.81
2049,2.03,23.76,0.85
2050,2.13,24.90,0.89
2051,2.13,25.00,0.89
2052,2.14,25.10,0.89
2053,2.15,25.19,0.90
2054,2.16,25.28,0.90
2055,2.17,25.37,0.90
2056,2.17,25.45,0.91
2057,2.18,25.52,0.91
2058,2.19,25.60,0.91
2059,2.19,25.67,0.92
2060,2.20,25.73,0.92
2061,2.20,25.80,0.92
2062,2.21,25.86,0.92
2063,2.21,25.92,0.92
2064,2.22,25.97,0.93
2065,2.22,26.02,0.93
2066,2.23,26.07,0.93
2067,2.23,26.12,0.93
2068,2.23,26.17,0.93
2069,2.24,26.21,0.93
2070,2.24,26.25,0.94
2071,2.24,26.29,0.94
2072,2.25,26.32,0.94
2073,2.25,26.35,0.94
2074,2.25,26.38,0.94
2075,2.25,26.41,0.94
2076,2.26,26.43,0.94
2077,2.26,26.45,0.94
2078,2.26,26.47,0.94
2079,2.26,26.48,0.94
2080,2.26,26.49,0.94
2081,2.26,26.50,0.94
2082,2.26,26.50,0.95
2083,2.26,26.51,0.95
2084,2.26,26.51,0.95
2085,2.26,26.51,0.95
2086,2.26,26.50,0.94
2087,2.26,26.49,0.94
2088,2.26,26.49,0.94
2089,2.26,26.47,0.94
2090,2.26,26.46,0.94
2091,2.26,26.45,0.94
2092,2.26,26.43,0.94
2093,2.25,26.41,0.94
2094,2.25,26.39,0.94
2095,2.25,26.37,0.94
2096,2.25,26.34,0.94
2097,2.25,26.32,0.94
2098,2.24,26.29,0.94
2099,2.24,26.26,0.94
2100,2.24,26.23,0.94
