year,CO2,CH4,N2O
1950,0.00,0.00,0.00
1951,0.00,0.00,0.00
1952,0.00,0.00,0.00
1953,0.00,0.00,0.00
1954,0.00,0.00,0.00
1955,0.00,0.00,0.00
1956,0.00,0.00,0.00
1957,0.00,0.00,0.00
1958,0.00,0.00,0.00
1959,0.00,0.00,0.00
1960,0.00,0.00,0.00
1961,0.00,0.00,0.00
1962,0.00,0.00,0.00
1963,0.00,0.00,0.00
1964,0.00,0.00,0.00
1965,0.00,0.00,0.00
1966,0.00,0.00,0.00
1967,0.00,0.00,0.00
1968,0.00,0.00,0.00
1969,0.00,0.00,0.00
1970,0.00,0.00,0.00
1971,0.00,0.00,0.00
1972,0.00,0.00,0.00
1973,0.00,0.00,0.00
1974,0.00,0.00,0.00
1975,0.00,0.00,0.00
1976,0.00,0.00,0.00
1977,0.00,0.00,0.00
1978,0.00,0.00,0.00
1979,0.00,0.00,0.00
1980,0.00,0.00,0.00
1981,0.00,0.00,0.00
1982,0.00,0.00,0.00
1983,0.00,0.00,0.00
1984,0.00,0.00,0.00
1985,0.00,0.00,0.00
1986,0.00,0.00,0.00
1987,0.00,0.00,0.00
1988,0.00,0.00,0.00
1989,0.00,0.00,0.00
1990,0.00,0.00,0.00
1991,0.00,0.00,0.00
1992,0.00,0.00,0.00
1993,0.00,0.00,0.00
1994,0.00,0.00,0.00
1995,0.00,0.00,0.00
1996,0.00,0.00,0.00
1997,0.00,0.00,0.00
1998,0.00,0.00,0.00
1999,0.00,0.00,0.00
2000,0.00,0.00,0.00
2001,0.00,0.00,0.00
2002,0.00,0.00,0.00
2003,0.00,0.00,0.00
2004,0.00,0.00,0.00
2005,0.00,0.00,0.00
2006,0.00,0.00,0.00
2007,0.00,0.00,0.00
2008,0.00,0.00,0.00
2009,0.00,0.00,0.00
2010,0.00,0.00,0.00
2011,0.00,0.00,0.00
2012,0.00,0.00,0.00
2013,0.00,0.00,0.00
2014,0.00,0.00,0.00
2015,0.00,0.00,0.00
2016,0.00,0.00,0.00
2017,0.00,0.00,0.00
2018,0.00,0.00,0.00
2019,0.00,0.00,0.00
2020,0.00,0.00,0.00
2021,0.00,0.00,0.00
2022,0.00,0.00,0.00
2023,0.00,0.00,0.00
2024,0.00,0.00,0.00
2025,0.00,0.00,0.00
2026,0.00,0.00,0.00
2027,0.42,4.97,0.14
2028,0.85,10.02,0.29
2029,1.29,15.15,0.44
2030,1.73,20.35,0.59
2031,2.18,25.63,0.74
2032,2.63,30.99,0.89
2033,3.10,36.42,1.05
2034,3.56,41.92,1.21
2035,4.04,47.48,1.37
2036,4.51,53.12,1.53
2037,5.00,58.82,1.69
2038,5.49,64.58,1.86
2039,5.98,70.41,2.03
2040,6.48,76.29,2.20
2041,6.99,82.23,2.37
2042,7.50,88.23,2.54
2043,8.01,94.27,2.71
2044,8.53,100.36,2.89
2045,9.05,106.50,3.06
2046,9.58,112.68,3.24
2047,10.10,118.89,3.42
2048,10.64,125.14,3.60
2049,11.17,131.42,3.78
2050,11.71,137.73,3.96
2051,11.75,138.30,3.98
2052,11.80,138.84,3.99
2053,11.84,139.36,4.01
2054,11.89,139.85,4.02
2055,11.93,140.32,4.04
2056,11.96,140.77,4.05
2057,12.00,141.20,4.06
2058,12.03,141.60,4.07
2059,12.07,141.99,4.09
2060,12.10,142.36,4.10
2061,12.13,142.71,4.11
2062,12.16,143.05,4.12
2063,12.18,143.37,4.13
2064,12.21,143.67,4.13
2065,12.24,143.96,4.14
2066,12.26,144.24,4.15
2067,12.28,144.50,4.16
2068,12.30,144.75,4.16
2069,12.32,144.99,4.17
2070,12.34,145.21,4.18
2071,12.36,145.41,4.18
2072,12.38,145.61,4.19
2073,12.39,145.78,4.19
2074,12.40,145.94,4.20
2075,12.42,146.08,4.20
2076,12.43,146.21,4.21
2077,12.44,146.32,4.21
2078,12.44,146.41,4.21
2079,12.45,146.49,4.21
2080,12.45,146.55,4.22
2081,12.46,146.59,4.22
2082,12.46,146.62,4.22
2083,12.46,146.63,4.22
2084,12.46,146.64,4.22
2085,12.46,146.62,4.22
2086,12.46,146.60,4.22
2087,12.46,146.56,4.22
2088,12.45,146.51,4.22
2089,12.45,146.45,4.21
2090,12.44,146.38,4.21
2091,12.43,146.30,4.21
2092,12.43,146.21,4.21
2093,12.42,146.11,4.20
2094,12.41,145.99,4.20
2095,12.40,145.87,4.20
2096,12.39,145.73,4.19
2097,12.37,145.58,4.19
2098,12.36,145.43,4.18
2099,12.35,145.26,4.18
2100,12.33,145.08,4.17
