year,CO2,CH4,N2O
1950,4.99,39.52,1.67
1951,5.07,40.22,1.70
1952,5.17,40.97,1.73
1953,5.27,41.76,1.76
1954,5.37,42.58,1.80
1955,5.48,43.44,1.83
1956,5.59,44.32,1.87
1957,5.70,45.22,1.91
1958,5.82,46.15,1.95
1959,5.93,47.02,1.98
1960,6.03,47.81,2.02
1961,6.13,48.59,2.05
1962,6.25,49.52,2.09
1963,6.38,50.62,2.14
1964,6.53,51.75,2.18
1965,6.67,52.86,2.23
1966,6.81,53.97,2.28
1967,6.95,55.07,2.32
1968,7.09,56.20,2.37
1969,7.24,57.38,2.42
1970,7.39,58.57,2.47
1971,7.54,59.77,2.52
1972,7.69,60.96,2.57
1973,7.84,62.16,2.62
1974,7.99,63.36,2.67
1975,8.14,64.54,2.72
1976,8.29,65.70,2.77
1977,8.43,66.87,2.82
1978,8.58,68.04,2.87
1979,8.74,69.26,2.92
1980,8.89,70.51,2.98
1981,9.06,71.80,3.03
1982,9.22,73.13,3.09
1983,9.39,74.47,3.14
1984,9.56,75.81,3.20
1985,9.74,77.19,3.26
1986,9.91,78.60,3.32
1987,10.10,80.06,3.38
1988,10.28,81.52,3.44
1989,10.47,82.98,3.50
1990,10.65,84.46,3.57
1991,10.84,85.91,3.63
1992,11.01,87.29,3.68
1993,11.18,88.65,3.74
1994,11.35,89.98,3.80
1995,11.52,91.30,3.85
1996,11.68,92.62,3.91
1997,11.85,93.93,3.96
1998,12.01,95.23,4.02
1999,12.18,96.53,4.07
2000,12.34,97.84,4.13
2001,12.51,99.16,4.19
2002,12.67,100.48,4.24
2003,12.84,101.79,4.30
2004,13.00,103.10,4.35
2005,13.17,104.43,4.41
2006,13.34,105.77,4.46
2007,13.51,107.13,4.52
2008,13.69,108.51,4.58
2009,13.86,109.91,4.64
2010,14.04,111.32,4.70
2011,14.22,112.73,4.76
2012,14.40,114.16,4.82
2013,14.58,115.60,4.88
2014,14.76,117.02,4.94
2015,14.94,118.43,5.00
2016,15.11,119.83,5.06
2017,15.29,121.21,5.12
2018,15.46,122.55,5.17
2019,15.62,123.84,5.23
2020,15.77,125.04,5.28
2021,15.91,126.11,5.32
2022,16.04,127.17,5.37
2023,16.18,128.28,5.41
2024,16.32,129.40,5.46
2025,16.46,130.50,5.51
2026,16.60,131.60,5.55
2027,16.66,131.78,5.57
2028,16.72,131.94,5.58
2029,16.77,132.07,5.59
2030,16.82,132.17,5.60
2031,16.87,132.25,5.61
2032,16.91,132.30,5.62
2033,16.96,132.32,5.63
2034,17.00,132.31,5.63
2035,17.03,132.28,5.64
2036,17.07,132.22,5.64
2037,17.10,132.13,5.65
2038,17.13,132.01,5.65
2039,17.15,131.87,5.65
2040,17.17,131.70,5.65
2041,17.19,131.50,5.65
2042,17.21,131.27,5.65
2043,17.22,131.01,5.64
2044,17.23,130.72,5.64
2045,17.23,130.40,5.63
2046,17.23,130.05,5.62
2047,17.23,129.66,5.61
2048,17.22,129.25,5.60
2049,17.21,128.80,5.59
2050,17.20,128.32,5.58
2051,17.27,128.85,5.60
2052,17.34,129.35,5.62
2053,17.40,129.83,5.65
2054,17.46,130.29,5.67
2055,17.52,130.73,5.68
2056,17.58,131.15,5.70
2057,17.63,131.55,5.72
2058,17.68,131.93,5.74
2059,17.73,132.29,5.75
2060,17.78,132.63,5.77
2061,17.82,132.96,5.78
2062,17.86,133.27,5.79
2063,17.90,133.57,5.81
2064,17.94,133.85,5.82
2065,17.98,134.13,5.83
2066,18.01,134.38,5.84
2067,18.05,134.63,5.85
2068,18.08,134.86,5.86
2069,18.11,135.08,5.87
2070,18.13,135.29,5.88
2071,18.16,135.48,5.89
2072,18.18,135.66,5.90
2073,18.20,135.82,5.91
2074,18.22,135.97,5.91
2075,18.24,136.10,5.92
2076,18.26,136.22,5.92
2077,18.27,136.32,5.93
2078,18.28,136.41,5.93
2079,18.29,136.48,5.93
2080,18.30,136.53,5.94
2081,18.31,136.57,5.94
2082,18.31,136.60,5.94
2083,18.31,136.61,5.94
2084,18.31,136.61,5.94
2085,18.31,136.60,5.94
2086,18.31,136.58,5.94
2087,18.30,136.55,5.94
2088,18.30,136.50,5.94
2089,18.29,136.44,5.93
2090,18.28,136.38,5.93
2091,18.27,136.30,5.93
2092,18.26,136.22,5.92
2093,18.25,136.12,5.92
2094,18.23,136.02,5.91
2095,18.22,135.90,5.91
2096,18.20,135.77,5.90
2097,18.18,135.64,5.90
2098,18.16,135.49,5.89
2099,18.14,135.33,5.88
2100,18.12,135.17,5.88
