year,CO2,CH4,N2O
1950,4.99,39.52,1.67
1951,5.07,40.22,1.70
1952,5.17,40.97,1.73
1953,5.27,41.76,1.76
1954,5.37,42.58,1.80
1955,5.48,43.44,1.83
1956,5.59,44.32,1.87
1957,5.70,45.22,1.91
1958,5.82,46.15,1.95
1959,5.93,47.02,1.98
1960,6.03,47.81,2.02
1961,6.13,48.59,2.05
1962,6.25,49.52,2.09
1963,6.38,50.62,2.14
1964,6.53,51.75,2.18
1965,6.67,52.86,2.23
1966,6.81,53.97,2.28
1967,6.95,55.07,2.32
1968,7.09,56.20,2.37
1969,7.24,57.38,2.42
1970,7.39,58.57,2.47
1971,7.54,59.77,2.52
1972,7.69,60.96,2.57
1973,7.84,62.16,2.62
1974,7.99,63.36,2.67
1975,8.14,64.54,2.72
1976,8.29,65.70,2.77
1977,8.43,66.87,2.82
1978,8.58,68.04,2.87
1979,8.74,69.26,2.92
1980,8.89,70.51,2.98
1981,9.06,71.80,3.03
1982,9.22,73.13,3.09
1983,9.39,74.47,3.14
1984,9.56,75.81,3.20
1985,9.74,77.19,3.26
1986,9.91,78.60,3.32
1987,10.10,80.06,3.38
1988,10.28,81.52,3.44
1989,10.47,82.98,3.50
1990,10.65,84.46,3.57
1991,10.84,85.91,3.63
1992,11.01,87.29,3.68
1993,11.18,88.65,3.74
1994,11.35,89.98,3.80
1995,11.52,91.30,3.85
1996,11.68,92.62,3.91
1997,11.85,93.93,3.96
1998,12.01,95.23,4.02
1999,12.18,96.53,4.07
2000,12.34,97.84,4.13
2001,12.51,99.16,4.19
2002,12.67,100.48,4.24
2003,12.84,101.79,4.30
2004,13.00,103.10,4.35
2005,13.17,104.43,4.41
2006,13.34,105.77,4.46
2007,13.51,107.13,4.52
2008,13.69,108.51,4.58
2009,13.86,109.91,4.64
2010,14.04,111.32,4.70
2011,14.22,112.73,4.76
2012,14.40,114.16,4.82
2013,14.58,115.60,4.88
2014,14.76,117.02,4.94
2015,14.94,118.43,5.00
2016,15.11,119.83,5.06
2017,15.29,121.21,5.12
2018,15.46,122.55,5.17
2019,15.62,123.84,5.23
2020,15.77,125.04,5.28
2021,15.91,126.11,5.32
2022,16.04,127.17,5.37
2023,16.18,128.28,5.41
2024,16.32,129.40,5.46
2025,16.46,130.50,5.51
2026,16.60,131.60,5.55
2027,16.56,130.63,5.53
2028,16.51,129.62,5.49
2029,16.46,128.56,5.46
2030,16.40,127.46,5.43
2031,16.34,126.31,5.39
2032,16.27,125.12,5.35
2033,16.20,123.88,5.31
2034,16.13,122.60,5.27
2035,16.05,121.28,5.23
2036,15.97,119.91,5.18
2037,15.88,118.50,5.14
2038,15.79,117.05,5.09
2039,15.69,115.56,5.04
2040,15.59,114.03,4.99
2041,15.49,112.45,4.93
2042,15.38,110.83,4.88
2043,15.26,109.17,4.82
2044,15.14,107.47,4.77
2045,15.02,105.73,4.71
2046,14.89,103.94,4.64
2047,14.76,102.12,4.58
2048,14.63,100.26,4.52
2049,14.49,98.35,4.45
2050,14.34,96.41,4.38
2051,14.40,96.81,4.40
2052,14.46,97.19,4.42
2053,14.51,97.55,4.44
2054,14.56,97.89,4.45
2055,14.61,98.22,4.47
2056,14.66,98.54,4.48
2057,14.70,98.84,4.49
2058,14.74,99.12,4.51
2059,14.78,99.39,4.52
2060,14.82,99.65,4.53
2061,14.86,99.90,4.54
2062,14.89,100.13,4.55
2063,14.93,100.36,4.56
2064,14.96,100.57,4.57
2065,14.99,100.77,4.58
2066,15.02,100.97,4.59
2067,15.05,101.15,4.60
2068,15.07,101.33,4.61
2069,15.10,101.49,4.61
2070,15.12,101.65,4.62
2071,15.14,101.79,4.63
2072,15.16,101.92,4.63
2073,15.18,102.05,4.64
2074,15.20,102.16,4.65
2075,15.21,102.26,4.65
2076,15.22,102.35,4.65
2077,15.24,102.42,4.66
2078,15.25,102.49,4.66
2079,15.25,102.54,4.66
2080,15.26,102.58,4.66
2081,15.26,102.61,4.67
2082,15.27,102.63,4.67
2083,15.27,102.64,4.67
2084,15.27,102.64,4.67
2085,15.27,102.64,4.67
2086,15.26,102.62,4.67
2087,15.26,102.59,4.66
2088,15.26,102.56,4.66
2089,15.25,102.52,4.66
2090,15.24,102.47,4.66
2091,15.23,102.41,4.66
2092,15.22,102.35,4.65
2093,15.21,102.27,4.65
2094,15.20,102.19,4.65
2095,15.19,102.11,4.64
2096,15.17,102.01,4.64
2097,15.16,101.91,4.63
2098,15.14,101.80,4.63
2099,15.13,101.68,4.62
2100,15.11,101.56,4.62
